檔案路徑,函式名稱,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,QueryTimes
codec-http/src/test/java/io/netty/handler/codec/http/multipart/AbstractMemoryHttpDataTest.java,testSetContentFromFile(),"0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))",All-Safe
codec-http/src/test/java/io/netty/handler/codec/http/multipart/DeleteFileOnExitHookTest.java,setUp(),"0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))",All-Safe
codec-http/src/test/java/io/netty/handler/codec/http/multipart/DiskFileUploadTest.java,testSpecificCustomBaseDir(),"0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))",All-Safe
codec-http/src/test/java/io/netty/handler/codec/http/multipart/HttpPostRequestEncoderTest.java,testMultiFileUploadInMixedMode(),"0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))",All-Safe
codec-http/src/test/java/io/netty/handler/codec/http/multipart/MixedTest.java,testSpecificCustomBaseDir(),"0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))",All-Safe
codec-http2/src/test/java/io/netty/handler/codec/http2/HashCollisionTest.java,main(),"1 (Δ; base=0, round=1, CodeQL(1))",#,#,#,#,#,#,#,#,#,1
codec-http2/src/test/java/io/netty/handler/codec/http2/HpackTest.java,files(),"0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))",All-Safe
codec-http2/src/test/java/io/netty/handler/codec/http2/Http2DataChunkedInputTest.java,<clinit>(),"0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))",All-Safe
codec-native-quic/src/test/java/io/netty/handler/codec/quic/QuicChannelConnectTest.java,accept(),"0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))",All-Safe
codec-xml/src/test/java/io/netty/handler/codec/xml/XmlFrameDecoderTest.java,sample(),"0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))",All-Safe
